Category,Subcategory,Category Source,Example,Ambiguous Token,Underspecification,Proper Representation,Representation Source,Source,Literature Notes,Reviewed By,Notes
Motion,Locomotion,,A person running towards the sunset,running towards,"Direction of movement, speed, gait phase",2D canvas with drawable motion path + directional stroke,TaleBrush CHI 2022,Literature,"TaleBrush demonstrated that sketch trajectories effectively control spatial and narrative outcomes. The shape of a drawn line directly maps to the path a subject takes. For ""flying in circles,"" a drawn circular stroke resolves ambiguity about arc shape, radius, and flight pattern. The sketching metaphor naturally extends to 3D movement when combined with altitude annotation (e.g., stroke thickness or a separate layer).",Vitor,
Motion,Locomotion,,A bird flying in circles above the lake,flying in circles,"Arc shape, radius, altitude variation",2D canvas with drawable motion path + directional stroke,TaleBrush CHI 2022,Literature,same as above,Vitor,
Motion,Gesture,,A person waving goodbye,waving,"Hand position, finger spread, wave phase",Gesture gallery with hand pose variants,Block and Detail UIST 2024,Literature,"Block and Detail showed that blocking strokes effectively communicate form intent without requiring detailed drawing skill—the system interprets rough strokes as structural scaffolding. For abstract emotional descriptors like ""confident,"" which map to many possible body poses, users can draw minimal blocking strokes indicating key postural elements: an upright spine line (vs. curved for ""timid""), wide shoulder line (vs. narrow for ""insecure""), raised chin angle (vs. lowered for ""sad""). This decomposes the abstract emotion into concrete spatial posture cues that the system can interpret, resolving the ambiguity without requiring users to articulate pose details in text or draw anatomically correct figures.",Vitor,
Motion,Gesture,,A confident businesswoman,confident,"Stance, shoulder position, head tilt, arm placement",Gesture gallery with pose variants,Block and Detail UIST 2024,Literature,same as above,Vitor,
Motion,Facial Expression,,A woman with a mysterious smile,mysterious smile,"Lip curvature, eye narrowing, eyebrow position","Semantic expression sliders with feedforward previews; multiple sliders controlling facial attribute dimensions (smile intensity, eye narrowing, brow position)",GANSlider CHI 2022,Literature,"GANSlider established that multiple sliders with feedforward previews effectively control generative model outputs, and that previews significantly improve user accuracy despite adding some cognitive load. For ambiguous expressions like ""mysterious smile,"" the ambiguity lies in the specific combination of facial attributes, how much smile curvature, how narrowed the eyes, how raised the eyebrows. Slider-based control decomposes the abstract term ""mysterious"" into manipulable facial dimensions, letting users define their interpretation through continuous adjustment rather than text iteration. The feedforward preview is critical: users can see how each slider affects the expression before committing, enabling precise specification of nuanced expressions that fall between discrete categories.",Vitor,
Color,Hue Selection,,A woman in a red dress,red,"Exact hue (crimson vs scarlet vs burgundy), saturation, brightness","Color picker with sample-and-tweak workflow, palette presets for named color variants (crimson, scarlet, burgundy) + precision picker for fine-tuning sampled colors","Color Portraits (CHI 2015); Palette, Purpose, Prototype (CHI 2024)",Literature,"Color Portraits (CHI 2015) found that designers rarely work with colors in isolation: 7 of 8 participants sampled colors from external references (photographs, websites, physical objects) and then tweaked them before applying, identifying ""sampling and tweaking individual colors"" as a fundamental color manipulation activity. Palette, Purpose, Prototype (CHI 2024) found that designers translate abstract intentions into specific colors through reference materials, with one team extracting that ""for 'freshness' we had the lime"" from collected visuals. For an ambiguous color term like ""red,"" which could mean crimson, scarlet, burgundy, or dozens of other hues, this sample-and-tweak workflow directly resolves the ambiguity: users can sample their intended red from a reference image or select from named presets representing common interpretations, then fine-tune to their exact specification rather than iterating through text descriptions.",Vitor,
Color,Hue Selection,,A photo with earthy tones,earthy tones,"Which browns/greens/oranges, their proportions, saturation level","Color picker with sample-and-tweak workflow, palette presets for named color variants (crimson, scarlet, burgundy) + precision picker for fine-tuning sampled colors","Color Portraits (CHI 2015); Palette, Purpose, Prototype (CHI 2024)",Literature,Same as above,Vitor,
Spatial,Position,,A bird in the corner of the image,in the corner,"Which corner, exact distance from edges, size relative to frame",Spatial canvas with region painting and draggable placeholders. Users paint or draw regions to specify where objects should appear,"WorldSmith (Dang et al., UIST 2023); GenTune (Wang et al., UIST 2025); LayoutDiffusion (Zheng et al., 2023)",Literature,"LayoutDiffusion established that ""problems such as missing objects and incorrectly generating objects' positions...occur in state-of-the-art text-guided diffusion models...mainly due to the ambiguity of the text and its weakness in precisely expressing the position of the image space."" WorldSmith (UIST 2023) found that ""participants tend to create their world models in parts, using sketching and text inputs to communicate positional information,"" and introduced region descriptions that ""permit users to spatially specify where content should generate on the canvas"" by linking painted regions to prompt segments via color coding. GenTune (UIST 2025) extended this by enabling designers to ""select any element in a generated image, trace it back to the corresponding prompt labels""—demonstrating that spatial-to-prompt traceability improves control. For ambiguous absolute positions like ""in the corner,"" which doesn't specify which corner or exact distance from edges, a spatial canvas with region painting directly resolves the ambiguity through visual placement rather than textual description.",Vitor,
Spatial,Position,,A cat sitting next to the fireplace,next to,"Distance, which side, orientation toward/away from reference",Spatial canvas with region painting and draggable placeholders. Users paint or draw regions to specify where objects should appear,"WorldSmith (Dang et al., UIST 2023); GenTune (Wang et al., UIST 2025); LayoutDiffusion (Zheng et al., 2023)",Literature,Same as above,Vitor,
Spatial,Size,,A large tree in a meadow,large,"Height in pixels, proportion of frame, trunk width",Resizable bounding box with proportional scale reference — draggable box handles for size control,"GLIGEN (Li et al., CVPR 2023); Proportion ControlNet (2025); LayoutDiffusion (Zheng et al., 2023); WorldSmith (Dang et al., UIST 2023)",Literature,"GLIGEN demonstrated that bounding boxes effectively encode both ""position and size"" as unified spatial information, with their GUI enabling users to ""specify the location and size of multiple objects in the image."" The Proportion ControlNet (2025) extended this specifically for artistic control, using ""bounding boxes to dictate the position and scale of objects""—noting that bounding boxes provide ""a higher level of abstraction, defining the semantic space an object should occupy"" while allowing artists to ""easily apply proportion rules like the rule of thirds."" WorldSmith (UIST 2023) found that users naturally communicate size through spatial means rather than text, with ""participants tend[ing] to create their world models in parts, using sketching and text inputs to communicate positional information."" For ambiguous size terms like ""large"", which doesn't specify proportion of frame, absolute dimensions, or relative scale, a resizable bounding box directly encodes the intended size as a visual proportion, resolving the ambiguity through direct manipulation rather than text iteration.",Vitor,
